Plot Title: ff2_82				
#	"Date Time, GMT+00:00"	"Wind Speed, mph"	"Gust Speed, mph"	"Wind Direction, ?"
166	1/29/2013 22:47	12.39	12.39	178.3
167	1/29/2013 22:47	10.13	10.13	182.5
168	1/29/2013 22:47	9.57	9.57	186.7
169	1/29/2013 22:47	9.01	9.01	174.1
170	1/29/2013 22:47	8.46	8.46	181.1
171	1/29/2013 22:47	6.2	6.2	155.8
172	1/29/2013 22:47	7.31	7.31	185.3
173	1/29/2013 22:47	10.13	10.13	186.7
174	1/29/2013 22:47	9.01	9.01	192.3
175	1/29/2013 22:47	8.46	8.46	161.5
176	1/29/2013 22:47	7.31	7.31	165.7
177	1/29/2013 22:47	7.9	7.9	178.3
178	1/29/2013 22:47	10.13	10.13	186.7
179	1/29/2013 22:47	9.57	9.57	171.3
180	1/29/2013 22:47	7.9	7.9	181.1
181	1/29/2013 22:48	7.31	7.31	181.1
182	1/29/2013 22:48	9.57	9.57	147.4
183	1/29/2013 22:48	10.13	10.13	165.7
184	1/29/2013 22:48	8.46	8.46	165.7
185	1/29/2013 22:48	9.01	9.01	200.8
186	1/29/2013 22:48	7.31	7.31	153
187	1/29/2013 22:48	10.69	10.69	179.7
188	1/29/2013 22:48	12.95	12.95	165.7
189	1/29/2013 22:48	14.09	14.09	157.2
190	1/29/2013 22:48	11.83	11.83	161.5
191	1/29/2013 22:48	11.83	11.83	176.9
192	1/29/2013 22:48	12.95	12.95	147.4
193	1/29/2013 22:48	9.57	9.57	171.3
194	1/29/2013 22:48	7.9	7.9	167.1
195	1/29/2013 22:48	6.2	6.2	165.7
196	1/29/2013 22:48	8.46	8.46	186.7
197	1/29/2013 22:48	7.9	7.9	186.7
198	1/29/2013 22:48	7.9	7.9	134.8
199	1/29/2013 22:48	6.2	6.2	158.6
200	1/29/2013 22:48	8.46	8.46	186.7
201	1/29/2013 22:49	8.46	8.46	174.1
202	1/29/2013 22:49	11.83	11.83	192.3
203	1/29/2013 22:49	13.51	13.51	153
204	1/29/2013 22:49	14.09	14.09	174.1
205	1/29/2013 22:49	15.77	15.77	176.9
206	1/29/2013 22:49	14.09	14.09	188.1
207	1/29/2013 22:49	12.95	12.95	169.9
208	1/29/2013 22:49	9.57	9.57	108.1
209	1/29/2013 22:49	6.76	6.76	110.9
210	1/29/2013 22:49	10.69	10.69	141.8
211	1/29/2013 22:49	11.83	11.83	153
212	1/29/2013 22:49	11.27	11.27	169.9
213	1/29/2013 22:49	12.39	12.39	147.4
214	1/29/2013 22:49	11.27	11.27	193.7
215	1/29/2013 22:49	9.57	9.57	167.1
216	1/29/2013 22:49	11.83	11.83	169.9
217	1/29/2013 22:49	12.39	12.39	162.9
218	1/29/2013 22:49	9.57	9.57	185.3
219	1/29/2013 22:49	11.27	11.27	165.7
220	1/29/2013 22:49	11.27	11.27	174.1
221	1/29/2013 22:50	10.13	10.13	178.3
222	1/29/2013 22:50	10.13	10.13	189.5
223	1/29/2013 22:50	11.83	11.83	181.1
224	1/29/2013 22:50	11.83	11.83	167.1
