,TIMESTAMP,Ux_20m,Uy_20m,Uz_20m,Ts_20m,Ux_10m,Uy_10m,Uz_10m,Ts_10m,Ux_6m,Uy_6m,Uz_6m,Ts_6m
218,2013-01-30 15:00:00,5.77,-10.64,1.78,13.36,4.12,-8.52,0.69,13.85,6.57,-9.65,0.21,15.83
219,2013-01-30 15:00:00,5.61,-10.78,1.35,13.33,4.24,-8.66,0.64,13.84,6.68,-9.4,-0.19,15.9
220,2013-01-30 15:00:00,5.32,-11.67,0.98,13.15,4.25,-9.39,0.84,14.07,5.34,-8.7,-0.57,15.81
221,2013-01-30 15:00:00,6.16,-12.45,1.57,13.11,4.61,-10.29,0.76,13.95,4.22,-8.86,0.1,15.96
222,2013-01-30 15:00:00,7.33,-12.38,0.65,13.09,4.37,-10.87,-0.08,13.84,4.98,-8.0,-1.17,16.02
223,2013-01-30 15:00:00,8.12,-12.68,0.16,13.03,3.6,-10.84,0.55,13.84,4.86,-9.01,-1.07,16.04
224,2013-01-30 15:00:00,8.29,-12.51,-0.41,12.9,3.18,-9.91,0.7,13.51,4.47,-9.27,-1.11,16.23
225,2013-01-30 15:00:00,8.65,-12.03,-0.58,12.77,3.84,-10.05,-0.39,13.3,4.89,-8.37,-0.05,16.01
226,2013-01-30 15:00:00,8.39,-12.21,-0.7,12.73,4.65,-10.23,-1.03,12.77,4.48,-7.57,0.13,16.0
227,2013-01-30 15:00:00,8.66,-11.85,-0.14,12.88,6.15,-10.88,-1.52,12.86,3.32,-6.99,0.29,15.79
228,2013-01-30 15:00:00,8.44,-12.2,-0.52,12.75,6.25,-11.21,-1.36,12.83,2.85,-6.69,1.24,16.16
229,2013-01-30 15:00:00,8.07,-12.35,-0.87,12.76,7.67,-11.85,-1.26,13.03,2.83,-6.67,0.52,16.12
230,2013-01-30 15:00:00,8.44,-12.07,-0.18,12.81,7.67,-11.23,-0.99,12.99,3.63,-7.58,0.38,16.26
231,2013-01-30 15:00:00,8.38,-12.04,-0.28,12.79,7.01,-10.66,-1.07,12.95,4.11,-8.09,-0.65,15.43
232,2013-01-30 15:00:00,8.41,-11.91,0.01,12.73,6.84,-10.74,-1.05,12.9,5.01,-7.86,-1.42,14.91
233,2013-01-30 15:00:00,8.09,-11.96,-0.12,12.72,7.27,-10.53,-1.06,13.0,6.3,-8.68,-1.33,14.9
234,2013-01-30 15:00:00,7.95,-12.26,-0.56,12.72,7.62,-10.48,-1.67,12.87,7.22,-8.8,-1.11,14.83
235,2013-01-30 15:00:00,8.19,-11.95,-0.27,12.75,6.61,-9.5,-0.31,13.02,6.27,-8.24,-1.91,15.12
236,2013-01-30 15:00:00,8.45,-12.12,-0.45,12.8,5.45,-9.11,-1.01,12.99,4.91,-7.44,-1.91,14.97
237,2013-01-30 15:00:00,8.6,-12.05,-0.68,12.78,4.39,-11.19,-2.05,13.18,4.96,-8.78,0.17,14.8
238,2013-01-30 15:00:00,9.2,-12.43,-0.48,12.77,4.26,-11.09,-1.51,13.37,4.53,-9.06,-0.83,14.94
239,2013-01-30 15:00:00,8.75,-12.66,-0.41,12.79,2.31,-10.1,0.47,13.38,4.34,-9.61,-0.01,15.04
240,2013-01-30 15:00:00,8.68,-12.51,-0.77,12.85,2.83,-8.94,-0.31,13.42,5.31,-9.13,-1.19,15.31
241,2013-01-30 15:00:00,8.73,-12.17,-0.72,12.66,3.43,-8.51,-2.02,13.13,4.61,-9.57,0.24,15.28
242,2013-01-30 15:00:00,8.57,-11.9,-0.52,12.7,1.99,-9.58,-0.2,13.18,4.27,-10.23,0.59,15.53
243,2013-01-30 15:00:00,8.32,-11.89,-0.62,12.66,2.66,-9.44,0.13,13.2,4.36,-10.43,-2.07,15.47
244,2013-01-30 15:00:00,7.84,-11.61,-0.91,12.59,3.12,-9.08,0.74,13.11,3.52,-9.74,-2.56,15.51
245,2013-01-30 15:00:00,8.25,-11.47,-1.27,12.56,3.88,-9.19,-1.73,13.13,3.78,-9.81,-0.64,15.5
246,2013-01-30 15:00:00,8.66,-11.64,-1.42,12.63,4.81,-9.2,-1.27,13.18,2.82,-9.22,-0.37,15.53
247,2013-01-30 15:00:00,8.44,-11.98,-1.49,12.81,5.31,-9.61,0.72,13.32,2.37,-8.31,-0.15,15.44
248,2013-01-30 15:00:00,8.83,-11.72,-1.77,12.75,6.41,-9.66,0.87,13.29,3.62,-7.96,-0.05,15.55
249,2013-01-30 15:00:00,8.59,-12.47,-1.58,12.98,8.63,-8.3,-0.5,13.01,4.89,-8.92,0.55,15.6
250,2013-01-30 15:00:00,7.86,-12.66,-1.38,12.99,7.44,-9.29,-1.23,13.06,3.98,-8.42,-0.22,15.43
251,2013-01-30 15:00:00,8.31,-12.97,-1.96,12.85,7.49,-9.56,-1.05,12.99,4.98,-9.03,-1.62,15.48
252,2013-01-30 15:00:00,7.99,-13.16,-2.16,12.87,7.12,-9.29,-0.98,12.64,5.44,-8.75,-0.46,15.56
253,2013-01-30 15:00:00,7.24,-12.87,-1.66,12.86,7.03,-9.66,-1.92,12.49,6.26,-8.66,-0.46,15.65
254,2013-01-30 15:00:00,7.66,-13.5,-1.65,12.72,7.46,-9.68,-0.89,12.88,4.03,-8.08,-0.2,15.73
255,2013-01-30 15:00:00,7.86,-13.5,-1.85,12.69,6.61,-8.83,-0.61,12.91,5.73,-8.51,-0.77,16.02
256,2013-01-30 15:00:00,7.76,-13.46,-1.6,12.78,5.99,-9.27,-0.01,13.12,5.88,-8.55,-0.31,15.61
257,2013-01-30 15:00:00,7.5,-12.91,-1.29,12.94,5.83,-9.7,-0.35,12.89,5.44,-8.03,-0.77,15.24
258,2013-01-30 15:00:00,7.11,-12.75,-1.49,12.69,7.18,-8.81,-0.13,12.9,5.23,-9.32,-1.34,15.53
